TA,O50A,40.1468,-83.6199,23.20,2.16
TA,O51A,40.1470,-82.6056,26.85,1.74
TA,O57A,40.2104,-77.6354,29.27,1.82
TA,O61A,40.0934,-74.5530,20.38,2.12
TA,P09A,39.5516,-117.1395,36.66,1.68
TA,P16A,39.6092,-111.6595,21.24,2.06
TA,P18A,39.6279,-110.2457,20.48,2.10
TA,P21A,39.5240,-107.4493,35.08,1.58
TA,P22A,39.5952,-106.7589,26.61,1.94
TA,P23A,39.3741,-105.8388,26.43,1.84
TA,P44A,39.4676,-88.6209,29.65,1.72
TA,P45A,39.5277,-87.7439,20.52,2.48
TA,P54A,39.6020,-80.4796,31.37,1.79
TA,P55A,39.5078,-79.8265,25.05,1.90
TA,Q04C,38.8390,-121.3769,22.36,2.07
TA,Q07A,38.9383,-118.8078,21.60,2.04
TA,Q08A,38.8606,-117.9316,29.77,1.83
TA,Q20A,38.9541,-108.2956,33.57,1.55
TA,Q22A,38.8627,-106.9096,22.68,2.22
TA,Q45A,38.8948,-88.1565,28.05,1.71
TA,Q52A,38.9622,-82.2669,35.12,1.58
TA,Q54A,38.9836,-80.8338,23.02,2.01
TA,Q58A,38.9413,-77.6820,31.15,1.82
TA,Q61A,38.8799,-75.3256,39.38,1.70
TA,R05C,38.7028,-120.0755,21.56,2.02
TA,R06C,38.5226,-119.4509,31.87,1.65
TA,R11B,38.3489,-115.5854,21.10,2.33
TA,R12A,38.3281,-114.6076,25.11,1.97
TA,R13A,38.1802,-113.9691,22.70,1.92
TA,R22A,38.2289,-106.7561,24.96,1.92
TA,R45A,38.2926,-88.2812,21.54,2.08
TA,R47A,38.2957,-86.5270,37.50,1.56
TA,R51A,38.3001,-83.5834,22.86,2.04
TA,R57A,38.2970,-78.5232,38.06,1.54
TA,R58B,37.9636,-77.8787,31.03,1.65
TA,R59A,38.2005,-77.1164,27.03,1.84
TA,R60A,38.2684,-76.5807,34.57,1.63
TA,R61A,38.3303,-75.3390,20.80,2.03
TA,S08C,37.4993,-118.1711,21.64,2.25
TA,S19A,37.7459,-109.1366,38.08,1.52
TA,S21A,37.6620,-107.7917,24.02,2.11
TA,S25A,37.6606,-104.4349,26.69,1.80
TA,S40A,37.5988,-92.5014,33.51,1.88
TA,S49A,37.7849,-85.2875,27.59,1.68
TA,S54A,37.7997,-81.3114,22.38,2.07
TA,S59A,37.7620,-77.2942,22.02,1.99
TA,SUTB,39.2291,-121.7861,36.48,1.66
TA,T16A,36.9839,-111.5060,24.90,2.03
TA,T19A,36.8299,-109.0249,21.34,2.02
TA,T24A,37.0738,-105.0521,25.33,1.70
TA,T26A,37.1747,-103.5933,21.48,2.19
TA,T27A,37.0614,-102.7214,22.90,2.11
TA,T28A,37.1204,-102.1136,22.70,2.15
TA,T30A,37.0526,-100.5274,36.58,1.68
TA,T40A,37.1504,-92.5193,33.95,1.56
TA,T41A,37.0436,-91.7636,23.82,2.03
